   0.0000000e+00   1.0177436e+00
   1.0000000e-02   9.6899712e-01
   2.0000000e-02   9.2259029e-01
   3.0000000e-02   8.7842970e-01
   4.0000000e-02   8.3643832e-01
   5.0000000e-02   7.9645359e-01
   6.0000000e-02   7.5835987e-01
   7.0000000e-02   7.2210639e-01
   8.0000000e-02   6.8771635e-01
   9.0000000e-02   6.5505200e-01
   1.0000000e-01   6.2397455e-01
   1.1000000e-01   5.9440276e-01
   1.2000000e-01   5.6626085e-01
   1.3000000e-01   5.3943414e-01
   1.4000000e-01   5.1394268e-01
   1.5000000e-01   4.8969632e-01
   1.6000000e-01   4.6663191e-01
   1.7000000e-01   4.4461856e-01
   1.8000000e-01   4.2366502e-01
   1.9000000e-01   4.0375432e-01
   2.0000000e-01   3.8478121e-01
   2.1000000e-01   3.6669354e-01
   2.2000000e-01   3.4944550e-01
   2.3000000e-01   3.3294857e-01
   2.4000000e-01   3.1715826e-01
   2.5000000e-01   3.0199404e-01
   2.6000000e-01   2.8744020e-01
   2.7000000e-01   2.7354735e-01
   2.8000000e-01   2.6023543e-01
   2.9000000e-01   2.4758591e-01
   3.0000000e-01   2.3557062e-01
   3.1000000e-01   2.2414826e-01
   3.2000000e-01   2.1331363e-01
   3.3000000e-01   2.0303208e-01
   3.4000000e-01   1.9329356e-01
   3.5000000e-01   1.8408059e-01
   3.6000000e-01   1.7530735e-01
   3.7000000e-01   1.6697895e-01
   3.8000000e-01   1.5910306e-01
   3.9000000e-01   1.5163844e-01
   4.0000000e-01   1.4459774e-01
   4.1000000e-01   1.3799668e-01
   4.2000000e-01   1.3181367e-01
   4.3000000e-01   1.2583928e-01
   4.4000000e-01   1.2007982e-01
   4.5000000e-01   1.1461825e-01
   4.6000000e-01   1.0941881e-01
   4.7000000e-01   1.0464195e-01
   4.8000000e-01   1.0012517e-01
   4.9000000e-01   9.5943880e-02
   5.0000000e-01   9.2022757e-02
